name,lat,lon,place_type,population
unnamed,-16.9599263,178.7801619,hamlet,
Savuna,-17.7295912,178.7261275,hamlet,
Navuti,-17.7628585,178.7560945,village,
Nasaga,-17.7097389,178.7653449,town,
Nawowo,-17.6248451,178.8092298,hamlet,
Toki,-17.6472199,178.8229118,village,
Vatukalo,-17.6428357,178.8209049,village,
Yaravudi,-17.6232608,178.7746655,village,
unnamed,-17.6229708,178.7775324,hamlet,
unnamed,-17.626933,178.7707654,hamlet,
Navuloa,-17.7019391,178.7619351,village,
Nathamaki,-17.244947,179.4298658,village,
Vatulele,-17.2488587,179.3944274,village,
Nabuna,-17.250473,179.3838636,village,
unnamed,-17.251278,179.3892989,hamlet,
unnamed,-17.253795,179.3847063,hamlet,
unnamed,-17.2642371,179.3902038,hamlet,
unnamed,-17.2730043,179.3960874,hamlet,
unnamed,-17.2764037,179.3931902,hamlet,
Nabasovi,-17.2888685,179.3620764,village,
Tuatua,-17.2936608,179.4382658,village,
Tavua,-17.2960847,179.3629551,village,
Navaga,-17.3063788,179.3668194,village,
Nasau,-17.3076881,179.4384815,village,
Naqaidamu,-17.3212969,179.4345862,village,
unnamed,-17.3270707,179.433912,hamlet,
unnamed,-17.3296667,179.4343392,hamlet,
Sinuvaca,-17.3340123,179.4329644,village,
Namacu,-17.3512264,179.4240724,village,
Kade,-17.3555192,179.3769086,village,
Nakodu,-17.3698166,179.4172524,village,
Mudu,-17.3768898,179.4094648,village,
unnamed,-17.3961746,179.3780766,hamlet,
unnamed,-17.7824356,179.4044244,village,
unnamed,-17.8001372,179.4233178,hamlet,
Tovulailai,-17.8099552,179.3991447,village,
unnamed,-17.8121158,179.4255913,hamlet,
unnamed,-17.8352681,179.4097247,hamlet,
Naigani,-17.7801089,179.1665272,hamlet,
Yavu,-17.7869116,179.1479774,hamlet,
Manuku,-17.7928289,179.1736241,hamlet,
Lomaviti village,-17.9862085,179.3292243,village,
Malawai,-18.002874,179.3399772,village,
Lamiti,-18.0089507,179.3419506,village,
Nawaikama,-18.0219628,179.2656558,village,
unnamed,-18.0292852,179.2744529,hamlet,
Somosomo,-18.011255,179.2409467,village,
Nukuloa,-18.0540498,179.3002489,village,
unnamed,-18.0561849,179.3028001,hamlet,
Nukuloa,-18.0628543,179.3071343,village,
Lovo,-18.1135065,179.3268349,village,
Vione,-17.9413618,179.2937573,village,
Qarani,-17.9466672,179.2704206,village,
unnamed,-17.9504187,179.2660389,hamlet,
Lekanai Village,-17.9512157,179.3092735,hamlet,
Navukailagi,-17.9572615,179.2602588,village,
Vanuaso,-17.9669121,179.3131135,village,
unnamed,-17.9807722,179.2531769,hamlet,
Sawaieke,-17.9869718,179.2526517,village,
Nuku,-18.5920832,179.8289766,village,
Vadra,-18.6026999,179.8349667,village,
Dakuibeqa,-18.4101668,178.1325197,village,
unnamed,-18.670371,-178.5007357,village,
Namuka,-18.8514485,-178.6345397,village,
unnamed,-18.917253,-178.9498558,village,
unnamed,-18.9318873,-178.9735265,village,
unnamed,-18.9439032,-178.9793412,hamlet,
Udu,-18.9859644,-178.9441987,village,
unnamed,-19.1219977,-178.5978642,hamlet,
unnamed,-18.3653055,-179.2756137,hamlet,
Dakuiloa,-18.4407212,-178.4686672,village,
Waiqori,-18.4453966,-178.4877496,village,
unnamed,-18.6811726,-178.6223735,hamlet,
unnamed,-18.6836874,-178.6207201,village,
unnamed,-17.727638,-179.3346423,hamlet,
Tuvuca,-17.6856027,-178.8233576,village,
unnamed,-17.2502907,-179.1439422,hamlet,
unnamed,-17.3278666,-178.9908126,village,
unnamed,-18.192109,-178.7788564,hamlet,
Levuka,-18.2430651,-178.8025357,hamlet,
Vaqatalaca,-18.2123378,-178.8348742,hamlet,
Ketei,-18.9519241,-179.8196932,village,
unnamed,-18.6704704,-178.5066279,hamlet,
Kese,-17.1290456,177.2404684,village,
Muaira,-17.132396,177.238705,village,
Soso,-17.1276441,177.2233358,village,
unnamed,-17.0148958,-179.2942125,village,
unnamed,-17.0197876,-179.2933339,village,
unnamed,-16.4975554,-179.69653,hamlet,
unnamed,-16.5031023,-179.6916984,village,
unnamed,-19.0752974,178.1191304,village,
unnamed,-19.0814071,178.1182988,village,
unnamed,-19.0831589,178.1151345,village,
Baidamudamu,-19.0858662,178.1083752,village,
unnamed,-19.1177425,178.1417922,village,
unnamed,-19.133247,178.1291789,village,
unnamed,-19.1341935,178.1176201,village,
Kabariki Village,-19.1434281,178.0288392,village,
unnamed,-19.1443287,178.0350883,village,
unnamed,-19.144929,178.0140901,hamlet,
Nasegai,-19.1506332,178.074658,village,
unnamed,-19.1526085,178.0456537,village,
unnamed,-19.1545598,178.089375,village,
unnamed,-19.1606441,178.0699396,village,
Narocivo,-17.9645647,-179.042257,village,
Salia,-17.9800911,-179.0323372,village,
Liku,-17.9886963,-179.0642446,village,
unnamed,-19.0173829,178.407248,hamlet,
unnamed,-19.0178749,178.411443,hamlet,
Solotavui,-18.978875,178.4243229,village,
Wainikaculoa,-18.9776464,178.4299055,village,
Nukutubu settlement,-18.9837844,178.4342345,village,
Naleca,-18.9704149,178.4281927,village,
unnamed,-18.9699254,178.4139448,village,
unnamed,-18.9531453,178.3755828,village,
Levuka,-18.937518,178.3539291,village,
Naioti,-18.9386272,178.3438161,village,
Rakiraki,-18.9387865,178.3364732,village,
Nauciwai,-18.9529272,178.3063708,village,
Gasele,-18.9531256,178.3026933,village,
Waiyavulailai,-18.9479093,178.4009924,village,
unnamed,-18.9634355,178.4515414,hamlet,
unnamed,-18.9674789,178.4524801,village,
unnamed,-18.9859517,178.4755028,village,
unnamed,-19.0206471,178.4612295,hamlet,
unnamed,-19.037646,178.3798579,village,
unnamed,-19.0492582,178.3494592,village,
unnamed,-19.1253411,178.1308862,hamlet,
unnamed,-19.078884,178.1007157,hamlet,
Naivakarauniniu,-18.9666256,178.2550176,village,
Vunisei,-18.981681,178.2756051,village,
Dravuwalu,-18.9979382,178.2964808,village,
