ADM3_PCODE,ADM3_EN,ADM2_PCODE,ADM2_EN,ADM1_PCODE,ADM1_EN,ADM0_PCODE,ADM0_EN,M_00_04,F_00_04,T_00_04,M_05_09,F_05_09,T_05_09,M_10_14,F_10_14,T_10_14,M_15_19,F_15_19,T_15_19,M_20_24,F_20_24,T_20_24,M_25_29,F_25_29,T_25_29,M_30_34,F_30_34,T_30_34,M_35_39,F_35_39,T_35_39,M_40_44,F_40_44,T_40_44,M_45_49,F_45_49,T_45_49,M_50_54,F_50_54,T_50_54,M_55_59,F_55_59,T_55_59,M_60_64,F_60_64,T_60_64,M_65_69,F_65_69,T_65_69,M_70_74,F_70_74,T_70_74,M_75_79,F_75_79,T_75_79,M_80_84,F_80_84,T_80_84,M_85_89,F_85_89,T_85_89,M_90_94,F_90_94,T_90_94,M_95Plus,F_95Plus,T_95Plus,M_TL,F_TL,T_TL
FJ21104,Saivou,FJ211,Ra,FJ2,Western,FJ,Fiji Islands,433,437,870,522,419,941,396,374,770,264,247,511,232,216,448,217,259,476,271,255,526,241,217,458,214,189,403,202,204,406,170,198,368,163,136,299,123,134,257,86,88,174,73,71,144,39,45,84,13,25,38,1,9,10,0,0,0,0,1,1,3660,3524,7184
FJ41201,Beqa,FJ412,Rewa,FJ4,Central,FJ,Fiji Islands,82,66,148,94,87,181,82,61,143,57,42,99,44,35,79,32,50,82,44,45,89,49,43,92,51,37,88,31,42,73,29,35,64,34,27,61,28,23,51,32,19,51,13,15,28,6,4,10,3,6,9,4,2,6,0,1,1,0,1,1,715,641,1356
FJ41202,Noco,FJ412,Rewa,FJ4,Central,FJ,Fiji Islands,255,205,460,248,191,439,196,159,355,156,170,326,118,167,285,116,123,239,120,117,237,108,108,216,85,99,184,82,100,182,115,123,238,95,85,180,63,55,118,54,41,95,36,35,71,12,24,36,6,10,16,3,6,9,0,0,0,1,0,1,1869,1818,3687
FJ41203,Rewa,FJ412,Rewa,FJ4,Central,FJ,Fiji Islands,512,483,995,528,507,1035,437,424,861,348,378,726,352,332,684,338,329,667,329,368,697,330,319,649,288,257,545,215,200,415,211,216,427,230,208,438,154,151,305,102,96,198,76,86,162,34,42,76,12,26,38,5,16,21,2,1,3,1,0,1,4504,4439,8943
FJ41204,Suva,FJ412,Rewa,FJ4,Central,FJ,Fiji Islands,4577,4185,8762,4298,4055,8353,3731,3678,7409,3966,4332,8298,5595,5235,10830,4208,4041,8249,4028,3832,7860,3494,3363,6857,2792,2759,5551,2530,2547,5077,2289,2360,4649,1997,2123,4120,1454,1565,3019,956,1188,2144,636,744,1380,329,498,827,193,276,469,58,121,179,16,21,37,7,11,18,47154,46934,94088
FJ31507,Pepjei,FJ315,Rotuma,FJ3,Eastern,FJ,Fiji Islands,7,5,12,5,5,10,5,11,16,7,4,11,1,4,5,2,2,4,3,2,5,3,3,6,3,5,8,7,1,8,3,5,8,3,0,3,5,5,10,5,0,5,1,4,5,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,60,59,119
FJ31501,Itumuta,FJ315,Rotuma,FJ3,Eastern,FJ,Fiji Islands,2,8,10,5,7,12,2,2,4,4,2,6,5,1,6,5,2,7,5,2,7,8,3,11,2,4,6,1,3,4,5,0,5,4,2,6,1,1,2,2,1,3,1,1,2,0,2,2,0,1,1,1,0,1,0,0,0,0,0,0,53,42,95
FJ31502,Itutiu,FJ315,Rotuma,FJ3,Eastern,FJ,Fiji Islands,26,43,69,41,27,68,37,51,88,27,26,53,13,12,25,16,15,31,21,13,34,26,27,53,14,23,37,29,21,50,23,18,41,13,16,29,19,8,27,9,8,17,7,12,19,5,5,10,3,4,7,1,1,2,0,0,0,0,0,0,330,330,660
FJ31503,Juju,FJ315,Rotuma,FJ3,Eastern,FJ,Fiji Islands,6,10,16,13,12,25,18,13,31,8,5,13,4,4,8,6,3,9,3,5,8,3,6,9,9,10,19,10,5,15,7,5,12,8,2,10,7,4,11,3,3,6,4,2,6,2,5,7,1,2,3,0,1,1,0,0,0,0,0,0,112,97,209
FJ31504,Malhaha,FJ315,Rotuma,FJ3,Eastern,FJ,Fiji Islands,10,11,21,13,8,21,17,11,28,7,16,23,6,4,10,10,5,15,8,8,16,8,6,14,12,1,13,7,5,12,6,4,10,13,4,17,5,7,12,4,2,6,5,2,7,1,0,1,3,2,5,1,1,2,0,0,0,0,0,0,136,97,233
FJ31505,Noatau,FJ315,Rotuma,FJ3,Eastern,FJ,Fiji Islands,4,5,9,4,9,13,2,6,8,3,7,10,4,3,7,6,4,10,6,1,7,1,3,4,2,2,4,2,5,7,1,7,8,6,5,11,8,2,10,2,2,4,1,4,5,1,5,6,1,1,2,0,0,0,0,0,0,0,0,0,54,71,125
FJ31506,Oinafa,FJ315,Rotuma,FJ3,Eastern,FJ,Fiji Islands,1,1,2,5,7,12,6,10,16,5,8,13,1,1,2,1,2,3,3,2,5,1,3,4,1,3,4,6,5,11,12,8,20,5,7,12,7,0,7,4,2,6,2,4,6,6,5,11,2,4,6,0,1,1,0,1,1,0,0,0,68,74,142
FJ41301,Nuku,FJ413,Serua,FJ4,Central,FJ,Fiji Islands,229,237,466,229,243,472,208,186,394,174,118,292,138,133,271,127,125,252,120,148,268,144,125,269,96,112,208,94,92,186,85,73,158,91,62,153,42,48,90,33,32,65,25,33,58,14,14,28,6,4,10,1,3,4,0,0,0,0,0,0,1856,1788,3644
FJ41302,Serua,FJ413,Serua,FJ4,Central,FJ,Fiji Islands,921,905,1826,832,827,1659,800,716,1516,654,628,1282,630,640,1270,635,620,1255,648,621,1269,539,586,1125,546,503,1049,449,407,856,405,465,870,398,393,791,313,326,639,181,202,383,147,163,310,71,71,142,26,47,73,11,25,36,7,6,13,2,0,2,8215,8151,16366
FJ41401,Bau,FJ414,Tailevu,FJ4,Central,FJ,Fiji Islands,1743,1620,3363,1581,1501,3082,1402,1329,2731,1246,1225,2471,1327,1234,2561,1243,1180,2423,1181,1157,2338,1169,1178,2347,957,925,1882,879,875,1754,872,838,1710,794,772,1566,505,534,1039,346,391,737,223,252,475,118,148,266,52,94,146,16,41,57,4,5,9,3,5,8,15661,15304,30965
FJ41402,Nakelo,FJ414,Tailevu,FJ4,Central,FJ,Fiji Islands,636,659,1295,644,605,1249,578,514,1092,484,428,912,433,395,828,366,388,754,403,438,841,372,383,755,279,308,587,280,278,558,296,290,586,246,226,472,192,182,374,137,145,282,86,89,175,49,53,102,18,19,37,6,16,22,0,9,9,0,0,0,5505,5425,10930
FJ41403,Sawakasa,FJ414,Tailevu,FJ4,Central,FJ,Fiji Islands,444,444,888,424,450,874,650,363,1013,1779,323,2102,266,186,452,208,194,402,215,243,458,206,199,405,211,184,395,194,167,361,188,158,346,158,125,283,89,117,206,87,77,164,37,64,101,34,33,67,13,20,33,3,14,17,1,1,2,0,1,1,5207,3363,8570
FJ41404,Verata,FJ414,Tailevu,FJ4,Central,FJ,Fiji Islands,679,626,1305,660,590,1250,589,516,1105,431,407,838,322,305,627,326,333,659,325,305,630,285,343,628,310,308,618,280,267,547,279,291,570,263,249,512,206,191,397,123,124,247,93,93,186,58,69,127,23,40,63,13,14,27,2,2,4,0,0,0,5267,5073,10340
FJ41405,Wainibuka,FJ414,Tailevu,FJ4,Central,FJ,Fiji Islands,251,246,497,254,226,480,228,186,414,180,160,340,92,123,215,115,114,229,92,93,185,106,107,213,91,91,182,99,108,207,104,99,203,85,94,179,70,72,142,56,53,109,38,29,67,20,22,42,8,12,20,3,7,10,1,1,2,1,2,3,1894,1845,3739
